dCategory,Team,League,City,City Alt.,Neighborhood,zipcode,Intensity Score,US lat,US lon,Race,Fandom Level,"Struggling (Less than $10,000)","Getting By ($10,000 to $14,999)","Getting By ($15,000 to $19,999)","Starting Out ($20,000 to $24,999)","Starting Out ($25,000 to $29,999)","Starting Out ($30,000 to $34,999)","Middle Class ($35,000 to $39,999)","Middle Class ($40,000 to $44,999)","Middle Class ($45,000 to $49,999)","Comfortable ($50,000 to $59,999)","Comfortable ($60,000 to $74,999)","Doing Well ($75,000 to $99,999)","Prosperous ($100,000 to $124,999)","Prosperous ($125,000 to $149,999)","Wealthy ($150,000 to $199,999)","Affluent ($200,000 or more)"
Fans,Oklahoma City Thunder,NBA,Abington,Abington,Abington,2351,0,42.11749,-70.959888,Hispanic,convertible,0,0,0,0,3,0,0,0,0,0,4,5,15,0,11,6
Fans,Oklahoma City Thunder,NBA,Ada,Ada,Ada,74820,24,34.748961,-96.685325,Hispanic,casual,10,2,3,4,9,3,13,11,8,7,8,16,24,9,6,0
Fans,Oklahoma City Thunder,NBA,Andover,Andover,Andover,1810,0,42.647991,-71.165685,Hispanic,convertible,6,4,0,4,8,8,0,11,0,10,0,21,17,35,32,61
Fans,Oklahoma City Thunder,NBA,Arvada,Arvada,Arvada,80001,4,39.522014,-105.223945,Hispanic,convertible,0,0,0,0,0,0,0,9,0,0,0,0,0,2,6,0
Fans,Oklahoma City Thunder,NBA,Bartlesville,Bartlesville,Bartlesville,74003,31,36.728272,-96.067573,Hispanic,casual,6,5,2,1,3,1,6,2,3,5,6,8,4,2,1,2
Fans,Oklahoma City Thunder,NBA,Bella Vista,Bella Vista,Bella Vista,72714,0,36.467299,-94.220903,Hispanic,convertible,0,0,0,0,0,1,0,0,7,0,1,7,3,0,14,5
Fans,Oklahoma City Thunder,NBA,Belton,Belton,Belton,64012,0,38.784041,-94.532397,Hispanic,convertible,0,0,3,0,3,0,0,14,0,11,14,56,28,16,7,6
Fans,Oklahoma City Thunder,NBA,Bentonville,Bentonville,Bentonville,72712,5,36.347107,-94.223419,Hispanic,convertible,12,0,6,0,5,0,17,10,5,3,47,60,9,9,46,5
Fans,Oklahoma City Thunder,NBA,Bethany,Bethany,Bethany,73008,38,35.51867,-97.63226,Hispanic,casual,15,1,12,6,41,12,4,21,11,23,17,69,12,4,0,7
Fans,Oklahoma City Thunder,NBA,Bixby,Bixby,Bixby,74008,24,35.93345,-95.877617,Hispanic,casual,8,2,3,5,5,6,7,6,4,13,10,13,21,19,8,5
Fans,Oklahoma City Thunder,NBA,Bracey,Bracey,Bracey,23919,0,36.59959,-78.14305,Hispanic,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Brighton,Brighton,Brighton,2135,0,42.3501,-71.15644,Hispanic,convertible,74,39,13,30,21,9,8,36,6,17,68,59,25,33,33,53
Fans,Oklahoma City Thunder,NBA,Broken Arrow,Broken Arrow,Broken Arrow,74012,18,36.051397,-95.805771,Hispanic,casual,16,6,11,10,8,22,16,28,18,36,44,80,47,15,32,18
Fans,Oklahoma City Thunder,NBA,Brownsfield,Baker,Baker,70714,0,30.578637,-91.126275,Hispanic,convertible,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Burlington,Burlington,Burlington,98233,0,48.47566,-122.32544,Hispanic,convertible,0,0,0,4,15,14,21,9,13,40,53,24,46,13,0,5
Fans,Oklahoma City Thunder,NBA,Burnsville,Burnsville,Burnsville,55306,4,44.730944,-93.291381,Hispanic,convertible,3,0,6,16,5,27,0,0,3,21,21,15,13,2,0,10
Fans,Oklahoma City Thunder,NBA,Cache,Cache,Cache,73527,0,34.62952,-98.62867,Hispanic,convertible,0,3,1,0,0,2,4,0,0,10,5,0,1,6,1,3
Fans,Oklahoma City Thunder,NBA,Campbell,Campbell,Campbell,95008,0,37.278563,-121.955101,Hispanic,convertible,16,19,7,42,1,17,7,29,6,27,65,94,86,36,96,124
Fans,Oklahoma City Thunder,NBA,Campbell,Campbell,Campbell,95008,0,37.278563,-121.955101,Hispanic,convertible,16,19,7,42,1,17,7,29,6,27,65,94,86,36,96,124
Fans,Oklahoma City Thunder,NBA,Canute,Canute,Canute,73626,0,35.418882,-99.280304,Hispanic,convertible,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0
Fans,Oklahoma City Thunder,NBA,Carthage,Carthage,Carthage,37030,0,36.276278,-85.95174,Hispanic,convertible,0,2,0,7,0,0,3,0,0,0,2,0,0,0,7,2
Fans,Oklahoma City Thunder,NBA,Castle Hills,The Colony,The Colony,75056,10,33.077136,-96.901605,Hispanic,casual,24,12,29,17,57,28,14,75,16,44,111,171,120,99,125,149
Fans,Oklahoma City Thunder,NBA,Catoosa,Catoosa,Catoosa,74015,0,36.18899,-95.74582,Hispanic,convertible,2,2,0,3,16,6,2,2,4,1,3,13,5,2,0,0
Fans,Oklahoma City Thunder,NBA,Centreville,Centreville,Centreville,20120,0,38.84479,-77.46701,Hispanic,convertible,2,13,11,2,4,67,12,30,12,7,24,73,68,33,31,96
Fans,Oklahoma City Thunder,NBA,Chalco,Omaha,Omaha,68138,0,41.158509,-96.133576,Hispanic,convertible,10,0,0,0,2,0,0,0,0,3,3,4,4,3,4,0
Fans,Oklahoma City Thunder,NBA,Chanute,Chanute,Chanute,66720,0,37.609218,-95.416422,Hispanic,convertible,0,13,0,16,4,0,0,0,0,8,0,24,4,0,2,4
Fans,Oklahoma City Thunder,NBA,Chickasha,Chickasha,Chickasha,73018,0,35.127804,-97.937083,Hispanic,convertible,6,5,0,5,14,5,0,3,14,0,14,21,19,3,3,4
Fans,Oklahoma City Thunder,NBA,Claremore,Claremore,Claremore,74017,10,36.348616,-95.604344,Hispanic,casual,6,0,0,2,4,9,12,5,9,3,27,23,7,3,8,2
Fans,Oklahoma City Thunder,NBA,Clovis,Clovis,Clovis,88101,0,34.497241,-103.294978,Hispanic,convertible,138,126,120,115,105,113,69,69,67,140,142,240,51,53,73,22
Fans,Oklahoma City Thunder,NBA,Cold Spring Harbor,Cold Spring Harbor,Cold Spring Harbor,11724,0,40.860098,-73.442315,Hispanic,convertible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
Fans,Oklahoma City Thunder,NBA,Cole,Blanchard,Blanchard,73010,0,35.13784,-97.65809,Hispanic,convertible,2,6,0,0,3,0,1,0,1,5,9,6,12,13,1,4
Fans,Oklahoma City Thunder,NBA,Concord,Concord,Concord,28025,0,35.371633,-80.562141,Hispanic,convertible,69,4,0,2,13,60,13,13,2,30,34,84,20,25,3,61
Fans,Oklahoma City Thunder,NBA,Cottage Grove,Cottage Grove,Cottage Grove,97424,0,43.72893,-123.049498,Hispanic,convertible,16,7,10,0,0,1,3,0,0,8,23,13,36,2,5,0
Fans,Oklahoma City Thunder,NBA,Coweta,Coweta,Coweta,74429,0,36.002092,-95.674795,Hispanic,convertible,0,3,3,3,0,2,5,0,3,18,3,5,7,1,6,3
Fans,Oklahoma City Thunder,NBA,Crystal,Minneapolis,Minneapolis,55422,0,45.009601,-93.342428,Hispanic,convertible,0,2,0,0,0,0,0,0,12,7,17,33,11,8,0,18
Fans,Oklahoma City Thunder,NBA,Custer,Custer,Custer,57730,0,43.657304,-103.425807,Hispanic,convertible,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Cuyahoga Falls,Cuyahoga Falls,Cuyahoga Falls,44221,0,41.143906,-81.473585,Hispanic,convertible,0,5,0,0,2,0,0,0,3,4,31,27,14,10,0,4
Fans,Oklahoma City Thunder,NBA,Davis,Davis,Davis,73030,0,34.501771,-97.047346,Hispanic,convertible,0,0,1,0,0,0,4,0,0,4,3,1,0,0,0,0
Fans,Oklahoma City Thunder,NBA,Del City,Oklahoma City,Oklahoma City,73115,51,35.444931,-97.446013,Hispanic,avid,22,0,18,5,12,22,7,16,8,18,26,20,16,14,6,2
Fans,Oklahoma City Thunder,NBA,Delran,Riverside,Riverside,8075,0,40.029586,-74.948936,Hispanic,convertible,59,3,0,15,11,3,0,0,21,12,19,40,44,8,19,10
Fans,Oklahoma City Thunder,NBA,Dillon,Dillon,Dillon,29536,0,34.422187,-79.341359,Hispanic,convertible,13,4,0,12,0,0,0,0,0,0,0,0,0,0,0,9
